slug	direct	with_descendants	parent	alias_of	description
cycle-mmq-rishadan-pirate	3				
cycle-msc-face-commander	3				
cycle-nem-parallax	3				
cycle-nem-recruiter	3				
cycle-ody-restock-creature	3				A vertical cycle of creatures from Odyssey that restock.
cycle-ody-thought-beast	3				A vertical cycle of creatures from Odyssey that reduce your hand size.
cycle-ody-x-of-the-y	3				A vertical cycle of token-producing sorceries with flashback from Odyssey.
cycle-ons-symbiotic-vertical	3				
cycle-plc-split-vertical	3				
cycle-restock-legendary-land	3				A mega (multi-set) cycle of lands that restock a specific card type
cycle-shm-untap	3				
cycle-soi-x-madness-sorcery	3				
cycle-stx-treasure-spell	3				
cycle-tor-black-dreams	3				A vertical cycle of black Dreams cards from Torment.
cycle-tor-red-punisher	3				A vertical cycle of red punisher cards from Torment.
cycle-triple-one-drop	3				
cycle-tsp-time-removal	3				
cycle-ugl-rock-paper-scissors	3				
cycle-unf-stickered	3				
cycle-woe-boon	3				Vertical cycle of the boons given to the witches on Eldraine by Talion
cycle-xln-dino-avatar	3				
cycle-xln-sun-aspect	3				
cycle-ylci-typal-seek	3				
cycle-yneo-costs-2-less	3				
cycle-ywoe-little-pig	3				
cycle-znr-inscription	3				
cycle-znr-multiclass-creature	3				A vertical cycle of creatures that were every Party mechanic class.
damage-prevention-permanent	3				
deprecated-legend-restriction	3				Until Champions of Kamigawa introduced the Legendary Supertype, the Legend rule was built into the creature type, meaning that certain cards would bring it up in the rules for their abilities.
flavor-matters	3				Not to be confused with [flavor text matters](/tags/card/flavor-text-matters)
flicker-enchantment	3				
fourth-spell-matters	3				
gains-islandwalk	3				
gains-suspend	3				
gains-swampwalk	3				
gains-wither	3				
gatefall	3				
gatewatch-oath	3				
gating	3				When this comes into play, return a permanent that shares a colour with it to your hand.
gives-blitz	3				
gives-conspire	3				
gives-decayed	3				
gives-evolve	3				
gives-fake-flying	3				Cards that make creatures unblockable except by creatures with flying or reach without giving them flying, known as [fake flying](fake-flying).
gives-jump-start	3				
gives-mentor	3				
gives-outlast	3				
gives-provoke	3				
gives-scavenge	3				
gives-sunburst	3				
gives-warp	3				
graveyard-fuel-enchantment	3				
graveyard-fuel-noncreature	3				
hate-adventure	3				
hate-battle	3				
hate-color-non-share	3				
hate-infect	3				
hate-life-payment	3				
hate-mm-counter	3				
hate-nonartifact	3				
hate-protection	3				
hate-typal-goat	3				
hate-typal-kavu	3				
hate-typal-mercenary	3				
hate-typal-non-demon	3				
hate-typal-robot	3				
hate-typal-skeleton	3				
high-five-matters	3				
impulse-creature-dwarf	3				
impulse-creature-goblin	3				
impulse-enchantment-saga	3				
impulse-historic	3				
infernal-spawn-family	3				
ip-matters	3				
keyword-errata-hexproof	3				
keyword-errata-scry	3				Cards that Scry but were either printed before the keyword was made, or before it was made deciduous in Magic Origins
land-kavu	3				
low-x-matters	3				
nemesis-mega-cycle	3				A currently incomplete cycle of creatures printed in commander precons that provide a pseudo-targeted static ability that impacts a single opponent.
night-matters	3				
noncreature-virtual-vanilla	3				
pitch-spell	3				Cards that let you discard or exile another card from your hand to cast for less or no mana
planeswalkerfall	3				
reanimate-noncreature	3				
regrowth-noncreature	3				
reminder-text-matters	3				
removal-nonenchantment	3				
repeatable-landers	3				
repeatable-token-generator	3				Repeatable ways to create tokens
repeatable-vibranium	3				
rescue-aura	3				
restock-land	3				
roll-d10	3				
roll-d12	3				
seek-land-forest	3				
seek-to-graveyard	3				
shadow-counter	3				
singleton-matters	3				
sneak-enchantment	3				
snowfall	3				Cards that care about snow permanents entering the battlefield, not the weather condition.
stock-turn	3				Skip a turn now in exchange for an extra turn later.
stun-counters-matter	3				
synergy-ability-sticker	3				
synergy-boast	3				
synergy-cascade	3				
synergy-collect-evidence	3				
synergy-colorless-mana	3				
synergy-convoke	3				
synergy-flanking	3				
synergy-leaves-creature	3				
synergy-level-up	3				
synergy-pw-nissa	3				
synergy-renown	3				
synergy-seek	3				
synergy-shroud	3				
synergy-sphere	3				
synergy-unearth	3				
theft-aura	3				
theft-mana	3				
theft-noncreature	3				
third-spell-matters	3				
toys-matter	3				
tutor-augment	3				Cards that tutor cards with augment.
tutor-battle	3				Cards that tutor battle cards.
tutor-creature-colorless	3				Cards that tutor colorless creature cards.
tutor-creature-demon	3				Cards that tutor Demon creature cards.
tutor-creature-merfolk	3				Cards that tutor Merfolk cards.
tutor-creature-power	3				Cards that tutor creature cards with a certain power.
tutor-creature-spirit	3				Cards that tutor Spirit cards.
tutor-creature-toughness	3				Cards that tutor creature cards with a certain toughness.
tutor-enchantment-shrine	3				
typal-advisor	3				
typal-crab	3				
typal-egg	3				
typal-eldrazi-scion	3				
typal-fractal	3				
typal-gamma	3				
typal-lhurgoyf	3				
typal-non-spirit	3				
typal-octopus	3				
typal-phoenix	3				
typal-praetor	3				
typal-shapeshifter	3				
typal-slug	3				
typal-unicorn	3				
type-errata-cheetah	3				
type-errata-cobra	3				
type-errata-ghoul	3				
type-errata-lion	3				
type-errata-specific-ouphe	3				
type-errata-specific-snake	3				
type-errata-specific-zombie	3				
wedgeland	3				Lands that produce mana from a "wedge" (2 allied colours and their shared enemy)
affinity-for-enchantments	2	2	synergy-enchantment		
animate-token	2				
banish-spell	2				Exile a spell on the stack, and bring it back when this permanent goes away.
block-when-tapped	2				
bounceland	2				Non-basic lands which tap for two mana, but require you to return a land to your hand when you play them.
buttcrew	2				Cards that crew with toughness rather than power.
clone-assassin	2				Clones that remove the thing they cloned, either immediately, or later.
conjure-battle	2				Cards that conjure battles.
conjure-planeswalker	2				Cards that conjure planeswalkers.
cost-reducer-historic	2				
cost-reducer-instant	2				
counter-fuel-loyalty	2				
counter-fuel-shield	2				
counters-remain	2				Counters don't leave when they normally would.
creature-type-lycanthrope	2				
cross-game-card	2				Cards that involve other games beyond Magic: The Gathering.
cycle-aer-precon-tutor	2				
cycle-cmr-face-commander	2				
cycle-drc-alt-commander	2				
cycle-drc-face-commander	2				
cycle-emn-escalate-alliance	2				
cycle-grn-precon-tutor	2				
cycle-infinity-stone	2				The super cycle of Infinity Stones
cycle-khc-face-commander	2				
cycle-young-planeswalker	2				Young mages imitating planeswalkers
cycle-znc-face-commander	2				
cycling-non-mana	2				
emerge-from-artifact	2				Cards where you can sacrifice an artifact and subtract its cost from the mana you pay
exchange-dice-roll	2				Cards that let you exchange a dice roll for a number they have.
gains-annihilator	2				
gains-battle-cry	2				
gains-bushido	2				
gains-mountainwalk	2				
gains-myriad	2				
gains-prowess	2				
gains-rampage	2				
gains-toxic	2				
gains-vanishing	2				
gives-afterlife	2				
gives-battle-cry	2				
gives-bloodthirst	2				
gives-bushido	2				
gives-deathtouch-noncreature	2				
gives-devoid	2				
gives-embalm	2				
gives-evoke	2				
gives-exploit	2				
gives-mobilize	2				
gives-ninjutsu	2				
gives-offspring	2				
gives-player-ability	2				Cards that give a player a keyword ability, such as hexproof.
gives-tantrum	2				
gives-training	2				
graveyard-fuel-historic	2				
graveyard-fuel-legendary	2				
hate-artifact-land	2				
hate-banding	2				
hate-double-strike	2				
hate-flashback	2				
hate-food	2				
hate-haste	2				
hate-library-cast	2				
hate-morph	2				
hate-reach	2				
hate-transform	2				
hate-treasure	2				
hate-typal-angel	2				
hate-typal-assassin	2				
hate-typal-bird	2				
hate-typal-dalek	2				
hate-typal-dinosaur	2				
hate-typal-djinn	2				
hate-typal-efreet	2				
hate-typal-eldrazi	2				
hate-typal-knight	2				
hate-typal-mutant	2				
hate-typal-non-elemental	2				
hate-typal-non-giant	2				
hate-typal-non-gorgon	2				
hate-typal-non-kraken	2				
hate-typal-non-leviathan	2				
hate-typal-non-merfolk	2				
hate-typal-non-octopus	2				
hate-typal-non-pirate	2				
hate-typal-non-serpent	2				
hate-typal-ox	2				
hate-typal-rat	2				
hate-typal-rebel	2				
hate-typal-reflection	2				
hate-typal-rogue	2				
hate-typal-treefolk	2				
hate-untapped	2				
hate-vigilance	2				
impulse-artifact-creature	2				
impulse-creature-legendary	2				
impulse-creature-soldier	2				
impulse-creature-turtle	2				
impulse-green	2				
impulse-instant-sorcery-lesson	2				
impulse-pw-tyvar	2				
lockdown	2				A permanent stays tapped. Named in the Color Pie 2017 article. See also [freeze](freeze).
lockdown-nonland	2				
lockdown-planeswalker	2				
mana-source-type	2				These cards had the deprecated mana source type during some of their prints.
off-turn-attack	2				
ownership-change-in-hand	2				
plainsfall	2				
prepare-matters	2				
prevent-transform	2				
pseudo-legendary	2				Cards that aren't typed 'legendary', yet still have rules that prevent multiple copies of them being in play simultaneously.
punchcard	2				
reanimate-battle	2				
reanimate-historic	2				
reanimate-spacecraft	2				
recursion-artifact	2				
regrowth-artifact-creature	2				
regrowth-legendary	2				
regrowth-nonland-permanent	2				
regrowth-spacecraft	2				
removes-banding	2				
removes-protection	2				
removes-shadow	2				
removes-shroud	2				
restart-game	2				
restock-battle	2				
restock-enchantment	2				
roll-to-visit	2				Cards that let you roll to visit your attractions (Outside of the regular main phase roll)
seek-creature-dragon	2				
seek-creature-elf	2				
seek-land-basic	2				
seek-land-mountain	2				
shroud-from-white	2				
substitute-card	2				
synergy-backup	2				
synergy-class	2				
synergy-cumulative-upkeep	2				
synergy-devoid	2				
synergy-discover	2				
synergy-doctor-s-companion	2				
synergy-emblem	2				
synergy-energy	2				Cards that care about obtaining or having energy counters, but not by spending them.
synergy-forage	2				
synergy-freerunning	2				
synergy-horsemanship	2				
synergy-hybrid	2				
synergy-infect	2				
synergy-investigate	2				
synergy-islandwalk	2				
synergy-junk	2				
synergy-lander	2				
synergy-life-payment	2				
synergy-manifest-dread	2				
synergy-modular	2				
synergy-morph	2				
synergy-multicolor-trio	2				
synergy-p-t-sticker	2				
synergy-pin	2				
synergy-plan	2				
synergy-powerstone	2				
synergy-pw-ajani	2				
synergy-pw-choose	2				Effects that let you choose which planeswalker type they apply to.
synergy-pw-teferi	2				
synergy-pw-tezzeret	2				
synergy-pw-vivien	2				
synergy-pw-vraska	2				
synergy-pw-yanling	2				
synergy-rune	2				
synergy-skulk	2				
synergy-soulbond	2				
synergy-teamwork	2				
synergy-tuck	2				
synergy-wastes	2				
tap-outlet	2				Cards that allow you to tap another permanent as part of an ability cost.
tearing	2				Cards which involve physically tearing the card.
transcendental-life-damage	2				Damage or life expressed in transcendental numbers. (Yes, we know this means it's not actually fractional.)
triggers-at-cleanup-step	2				Cards that trigger at the cleanup step, rather than what would usually be the end step.
tutor-artifact-creature	2				Cards that tutor artifact creature cards.
tutor-artifact-legendary	2				Cards that tutor legendary artifact cards.
tutor-aura-curse	2				Cards that tutor Curse cards.
tutor-blue	2				Cards that tutor blue cards.
tutor-creature-ally	2				Cards that tutor Ally creature cards.
tutor-creature-god	2				
tutor-creature-myr	2				Cards that tutor Myr creature cards.
tutor-creature-praetor	2				
tutor-creature-sliver	2				Cards that tutor Sliver cards.
tutor-creature-wizard	2				Cards that tutor Wizard cards.
tutor-flash	2				Cards that tutor cards with flash.
tutor-green	2				Cards that tutor green cards.
tutor-land-snow	2				Cards that tutor snow land cards.
tutor-land-town	2				
tutor-red	2				Cards that tutor red cards.
tutor-rune	2				
typal-ape	2				
typal-archer	2				
typal-barbarian	2				
typal-demigod	2				
typal-elephant	2				
typal-employee	2				
typal-fox	2				
typal-gorgon	2				
typal-gremlin	2				
typal-hydra	2				
typal-klingon	2				
typal-kraken	2				
typal-leech	2				
typal-moogle	2				
typal-non-angel	2				
typal-orc	2				
typal-ox	2				
typal-salamander	2				
typal-scarecrow	2				
typal-servo	2				
typal-shark	2				
typal-sphinx	2				
typal-tiefling	2				
typal-wurm	2				
type-addition-rabbit	2				
type-errata-mammoth	2				Mammoths are just elephants anyway.
type-errata-roc	2				
type-errata-specific-cat	2				
type-errata-specific-yeti	2				
type-errata-vulture	2				
unspent-mana-matters	2				Cards that care about the amount of unspent mana in your mana pool.
affinity-for-allies	1	1	typal-ally		
affinity-for-birds	1	1	typal-bird		
affinity-for-cats	1	1	affinity-for-creature-type		
affinity-for-caves	1	1	affinity-for-land-type		
affinity-for-citizens	1	1	affinity-for-creature-type		
affinity-for-daleks	1	1	affinity-for-creature-type		
affinity-for-elves	1	1	typal-elf		
affinity-for-humans	1	1	affinity-for-creature-type		
affinity-for-knights	1	1	typal-knight		
affinity-for-outlaws	1	1	affinity-for-creature-type		
affinity-for-phyrexians	1	1	affinity-for-creature-type		
affinity-for-slivers	1	1	affinity-for-creature-type		
affinity-for-spirits	1	1	affinity-for-creature-type		
affinity-for-tokens	1	1	affinity		
affinity-for-towns	1	1	synergy-town		
artifact-matters	1				
boltland	1				Lands you can pay 3 life/take 3 damage to have them enter untapped.
buttfling	1				Fling, but using toughness for damage.
buttlink	1				
buttsaddle	1				Cards that saddle with toughness rather than power.
buttstation	1				Cards that station using their toughness rather than their power.
conjure-nonland	1				Cards that conjure nonland cards.
conjure-permanent	1				Cards that conjure any type of permanent card.
cost-reducer-battle	1				
cost-reducer-lesson	1				
cost-reducer-sorcery	1				
cost-reducer-vehicle	1				
counter-fuel-lore	1				
counter-fuel-pt	1				These cards remove deprecated P/T counters as fuel.
counter-fuel-stun	1				
counterspell-battle	1				
counterspell-loyalty-ability	1				
creature-type-fungusaur	1				
cycle-innistrad-legend-angel	1				
decayed-counter	1				
digital-replacement	1				
exalted-counter	1				
flicker-nonenchantment	1				
flicker-planeswalker	1				
flicker-vehicle	1				
gains-cascade	1				
gains-dethrone	1				
gains-exploit	1				
gains-firebending	1				
gains-for-mirrodin	1				
gains-living-weapon	1				
gains-provoke	1				
gains-soulshift	1				
gains-split-second	1				
gains-umbra-armor	1				
gains-undying	1				
gender-matters	1				
gives-absorb	1				
gives-adventure	1				
gives-assist	1				
gives-basic-landcycling	1				
gives-delve	1				
gives-dethrone	1				
gives-devour	1				
gives-disguise	1				
gives-dredge	1				
gives-echo	1				
gives-emerge	1				
gives-epic	1				
gives-extort	1				
gives-fabricate	1				
gives-fossilize	1				
gives-freerunning	1				
gives-frenzy	1				
gives-harmonize	1				
gives-living-weapon	1				
gives-madness	1				
gives-mayhem	1				
gives-modular	1				
gives-plainswalk	1				
gives-prowl	1				
gives-read-ahead	1				
gives-relentless	1				
gives-renown	1				
gives-ripple	1				
gives-saddle	1				
gives-sneak	1				
gives-spectacle	1				
gives-super-haste	1				
gives-thoughtweft	1				
gives-townwalk	1				
gives-triple-strike	1				
gives-umbra-armor	1				
gives-undaunted	1				
gives-unleash	1				
gives-web-slinging	1				
gives-wither-noncreature	1				
graveyard-fuel-saga	1				
hand-size-hate	1				
hate-backup	1				
hate-blood	1				
hate-clue	1				
hate-conspiracy	1				
hate-contraption	1				
hate-curse	1				
hate-dice	1				
hate-disturb	1				
hate-fear	1				
hate-flanking	1				
hate-goad	1				
hate-hybrid	1				
hate-kicker	1				
hate-lifelink	1				
hate-menace	1				
hate-planeswalker-bolas	1				
hate-planeswalker-chandra	1				
hate-planeswalker-jace	1				
hate-plot	1				
hate-room	1				
hate-saga	1				
hate-scry	1				
hate-speed	1				
hate-splice	1				
hate-surveil	1				
hate-town	1				
hate-toxic	1				
hate-trap	1				
hate-typal-alien	1				
hate-typal-archon	1				
hate-typal-coyote	1				
hate-typal-cyclops	1				
hate-typal-devil	1				
hate-typal-dog	1				
hate-typal-eldrazi-scion	1				
hate-typal-elk	1				
hate-typal-giant	1				
hate-typal-glimmer	1				
hate-typal-gorgon	1				
hate-typal-homarid	1				
hate-typal-inkling	1				
hate-typal-kithkin	1				
hate-typal-lizard	1				
hate-typal-ninja	1				
hate-typal-non-assassin	1				
hate-typal-non-faerie	1				
hate-typal-non-god	1				
hate-typal-non-rogue	1				
hate-typal-non-soldier	1				
hate-typal-non-vampire	1				
hate-typal-non-werewolf	1				
hate-typal-phyrexian	1				
hate-typal-pirate	1				
hate-typal-salamander	1				
hate-typal-saproling	1				
hate-typal-scarecrow	1				
hate-typal-serf	1				
hate-typal-soldier	1				
hate-typal-spider	1				
hate-typal-survivor	1				
hate-typal-thrull	1				
hate-typal-warlock	1				
hate-typal-warrior	1				
hate-typal-wolf	1				
hate-typal-yeti	1				
hate-ward	1				
hate-warp	1				
hexproof-soft	1				Stuff is harder to target, but not impossible.
impulse-artifact-legendary	1				
impulse-artifact-spacecraft	1				
impulse-black	1				
impulse-blue	1				
impulse-colorless	1				
impulse-creature-ally	1				
impulse-creature-angel	1				
impulse-creature-assassin	1				
impulse-creature-demon	1				
impulse-creature-dinosaur	1				
impulse-creature-elemental	1				
impulse-creature-kavu	1				
impulse-creature-knight	1				
impulse-creature-merfolk	1				
impulse-creature-mutant	1				
impulse-creature-ninja	1				
impulse-creature-pirate	1				
impulse-creature-rat	1				
impulse-creature-zombie	1				
impulse-enchantment-shrine	1				
impulse-multicolor	1				
impulse-pw-garruk	1				
impulse-red	1				
impulse-white	1				
location-matters	1				
lockdown-spacecraft	1				
match-points-matter	1				
mono-red-value	1				
nanni	1				
protects-token	1				
protects-vehicle	1				
pseudo-ante	1				
quick-attach	1				Abilities that instantly attach equipment and/or auras.
reanimate-instant-sorcery	1				Effects that let you actually take an instant or sorcery card from a graveyard and put it onto the battlefield as a permanent, because Magic is a weird game.
reanimate-legendary	1				
reanimate-saga	1				
recursion-creature	1				
recursion-enchantment	1				
recursion-permanent	1				
regrowth-arcane	1				
regrowth-battle	1				
regrowth-food	1				
removes-deathtouch	1				
removes-double-strike	1				
removes-infect	1				
removes-toxic	1				
removes-ward	1				
rescue-nonartifact	1				
restart-turn	1				
restock-noncreature	1				
restock-nonland	1				
restock-permanent	1				
roll-planar-die	1				Effects that instruct you to roll the planar die. NOT for responding to its rolls.
seek-artifact-spacecraft	1				
seek-cast	1				
seek-creature-kithkin	1				
seek-creature-merfolk	1				
seek-creature-pirate	1				
seek-creature-rat	1				
seek-creature-survivor	1				
seek-creature-vampire	1				
seek-enchantment	1				
seek-enchantment-saga	1				
seek-land-island	1				
seek-land-nonbasic	1				
seek-land-plains	1				
seek-land-swamp	1				
seek-land-urza-s	1				
seek-legendary	1				
seek-noncreature	1				Seek for noncreature cards.
seek-planeswalker	1				
seek-self	1				Cards that seek other copies of themselves.
shockland	1				Lands which enter tapped unless you pay two life.
shroud-from-black	1				
shroud-from-blue	1				
shroud-from-nongreen	1				
shroud-from-red	1				
sneak-artifact-creature	1				
static-from-graveyard	1				
synergy-affinity	1				
synergy-airbending	1				
synergy-awaken	1				
synergy-banana	1				
synergy-bargain	1				
synergy-blitz	1				
synergy-boon	1				
synergy-bushido	1				
synergy-case	1				
synergy-changeling	1				
synergy-color-non-share	1				
synergy-craft	1				
synergy-damage-prevention	1				
synergy-dash	1				
synergy-devour	1				
synergy-disguise	1				
synergy-earthbending	1				
synergy-echo	1				
synergy-embalm	1				
synergy-enlist	1				
synergy-equipment-legendary	1				
synergy-eternalize	1				
synergy-firebending	1				
synergy-gift	1				
synergy-haunt	1				
synergy-ingest	1				
synergy-intimidate	1				
synergy-jump-start	1				
synergy-madness	1				
synergy-manifest	1				
synergy-map	1				
synergy-mentor	1				
synergy-partner	1				
synergy-plot	1				
synergy-pw-angrath	1				
synergy-pw-ashiok	1				
synergy-pw-basri	1				
synergy-pw-davriel	1				
synergy-pw-domri	1				
synergy-pw-dovin	1				
synergy-pw-elspeth	1				
synergy-pw-huatli	1				
synergy-pw-lukka	1				
synergy-pw-oko	1				
synergy-pw-ral	1				
synergy-pw-rowan	1				
synergy-pw-sarkhan	1				
synergy-pw-tamiyo	1				
synergy-pw-ugin	1				
synergy-pw-yanggu	1				
synergy-regenerate	1				
synergy-role	1				
synergy-saddle	1				
synergy-sneak	1				
synergy-spectacle	1				
synergy-start-your-engines	1				
synergy-tantrum	1				
synergy-type-change	1				
synergy-urza-s	1				
synergy-villainous-choice	1				
synergy-waterbending	1				
synergy-wither	1				
tapper-spacecraft	1				
tax	1				Extract resources from your opponents when they try to do stuff, either by making them spend extra resources or by generating them for yourself.
theft-artifact-creature	1				
theft-commander	1				
theft-spacecraft	1				
triland	1				Lands which tap for three colors. For triland cycles specifically see [cycle-triland](/tags/card/cycle-triland).
tutor-artifact-colored	1				Cards that tutor colored artifact cards.
tutor-artifact-food	1				
tutor-artifact-land	1				
tutor-artifact-noncreature	1				Cards that tutor noncreature artifact cards.
tutor-aura-creature	1				Cards that tutor Aura cards with “enchant creature”.
tutor-creature-assembly-worker	1				Cards that tutor Assembly-Worker creature cards.
tutor-creature-aurochs	1				Cards that tutor Aurochs cards.
tutor-creature-bird	1				
tutor-creature-construct	1				Cards that tutor Construct cards.
tutor-creature-deathtouch	1				Cards that tutor creature cards with deathtouch.
tutor-creature-demigod	1				
tutor-creature-dwarf	1				Cards that tutor Dwarf cards.
tutor-creature-eldrazi	1				Cards that tutor Eldrazi cards.
tutor-creature-elemental	1				Cards that tutor Elemental cards.
tutor-creature-embalm	1				Cards that tutor creature cards with embalm.
tutor-creature-eternalize	1				Cards that tutor creature cards with eternalize.
tutor-creature-faerie	1				Cards that tutor Faerie cards.
tutor-creature-flying	1				Cards that tutor creature cards with flying.
tutor-creature-giant	1				Cards that tutor Giant cards.
tutor-creature-halfling	1				
tutor-creature-hexproof	1				Cards that tutor creature cards with hexproof.
tutor-creature-kithkin	1				Cards that tutor Kithkin cards.
tutor-creature-minotaur	1				Cards that tutor Minotaur creature cards.
tutor-creature-mount	1				
tutor-creature-nephilim	1				
tutor-creature-ninja	1				
tutor-creature-noble	1				
tutor-creature-phyrexian	1				Cards that tutor Phyrexian cards.
tutor-creature-pirate	1				Cards that tutor Pirate cards.
tutor-creature-rat	1				Cards that tutor Rat cards.
tutor-creature-reach	1				Cards that tutor creature cards with reach.
tutor-creature-squirrel	1				
tutor-creature-trample	1				Cards that tutor creature cards with trample.
tutor-creature-treefolk	1				Cards that tutor Treefolk cards.
tutor-creature-vampire	1				Cards that tutor Vampire cards.
tutor-creature-vanilla	1				Cards that tutor for creature cards with no abilities.
tutor-creature-zombie	1				Cards that tutor Zombie cards.
tutor-enchantment-plan	1				
tutor-enchantment-room	1				
tutor-enchantment-saga	1				
tutor-flashback	1				Cards that tutor cards with flashback.
tutor-host	1				Cards that tutor host cards.
tutor-instant-sorcery-arcane	1				Cards that tutor Arcane cards.
tutor-instant-sorcery-lesson	1				
tutor-instant-sorcery-trap	1				Cards that tutor Trap cards.
tutor-land-specific	1				Cards that search for one specific land
tutor-monocolored	1				Cards that tutor monocolored cards.
tutor-multicolored	1				Cards that tutor multicolored cards.
tutor-permanent-snow	1				
tutor-white	1				Cards that tutor white cards.
typal-aetherborn	1				
typal-alicorn	1				
typal-alien	1				
typal-archon	1				
typal-atog	1				
typal-balloon	1				
typal-bard	1				
typal-beeble	1				
typal-bison	1				
typal-blinkmoth	1				
typal-brainiac	1				
typal-camarid	1				
typal-camel	1				
typal-caribou	1				
typal-centaur	1				
typal-clown	1				
typal-donkey	1				
typal-drake	1				
typal-elder-dragon	1				
typal-exclusion	1				"Typal" cards that exclude one or more creature types rather then including a few. Usually to prevent loops, have a specific typal limitation, or to prevent changelings from joining in.
typal-gamer	1				
typal-glimmer	1				
typal-guest	1				
typal-homarid	1				
typal-homunculus	1				
typal-human-werewolf	1				
typal-jackal	1				
typal-juggernaut	1				
typal-killbot	1				
typal-kor	1				
typal-lobster	1				
typal-minion	1				
typal-monk	1				
typal-monkey	1				
typal-moonfolk	1				
typal-nautilid	1				
typal-nautilus	1				
typal-nephilim	1				
typal-nightstalker	1				
typal-noble	1				
typal-non-archon	1				
typal-non-assassin	1				
typal-non-borg	1				
typal-non-horse	1				
typal-non-kree	1				
typal-non-lemur	1				
typal-non-pilot	1				
typal-non-villain	1				
typal-non-zombie	1				
typal-pentavite	1				
typal-performer	1				
typal-pilot	1				
typal-pony	1				
typal-prism	1				
typal-reflection	1				
typal-rhino	1				
typal-rigger	1				
typal-satyr	1				
typal-scion	1				
typal-scout	1				
typal-sculpture	1				
typal-seal	1				
typal-shade	1				
typal-snail	1				
typal-spawn	1				
typal-specter	1				
typal-starfish	1				
typal-survivor	1				
typal-symbiote	1				
typal-teddy-bear	1				
typal-tentacle	1				
typal-transformer	1				
typal-trilobite	1				
typal-tyranid	1				
typal-whale	1				
typal-worm	1				
undaunted	1				Undaunted spells cost 1 less for each opponent you have.
unstable-secret-base	1				There are five Secret Base cards in Unstable. They share the same collector number but have different art, flavor text and watermark, matching each of the five Bablovian factions.
untapper	1				Cards that can untap things.
untapper-equipment	1				
untapper-planeswalker	1				
wheel	1				Discard your hand, draw back up.
combat-manipulation	0				
cost-reducer-saga	0				
counter-fuel	0				Remove counters to do something.
cycle-ascendancy	0				
cycle-block-grn-c-guild-kw	0				
cycle-block-grn-guild-champion	0				
cycle-block-grn-guildmage	0				The guildmage cycle from Guilds of Ravnica and Ravnica Allegiance. Each has two activated ability costing one of its colors plus {T}.
cycle-block-grn-guildmaster	0				
cycle-block-grn-hybrid-critter	0				
cycle-block-grn-locket	0				
cycle-block-grn-mmnn	0				
cycle-block-grn-r-split	0				
cycle-block-grn-u-split	0				
cycle-block-shm-c-h-1-drop	0				
cycle-block-shm-u-h-3-drop	0				
cycle-block-ths-minor-god	0				
cycle-bondland	0				
cycle-checkland	0				
cycle-demigod-aura	0				
cycle-dft-draft-signpost	0				
cycle-dka-draft-signpost	0				
cycle-dmu-draft-signpost	0				
cycle-dual-creatureland	0				
cycle-dual-tapland	0				
cycle-ecl-draft-signpost	0				
cycle-eld-draft-signpost	0				
cycle-fastland	0				
cycle-fetchland	0				
cycle-hybrid-filterland	0				
cycle-hybrid-modal	0				
cycle-jumpstart-hybrid-legend	0				
cycle-khm-draft-signpost	0				
cycle-mh2-draft-signpost	0				
cycle-mh3-draft-signpost	0				
cycle-napland	0				
cycle-nonmana-land	0				Cycles of lands that don't create mana.
cycle-ody-filterland	0				The cycle of filterlands originally debuting with just the ally color pairs in Odyssey and eventually completed in the Fallout commander decks.
cycle-painland	0				
cycle-playtest-dual-land	0				
cycle-primeval-dragon	0				
cycle-restless-land	0				
cycle-reveal-land	0				Dual lands that enter the battlefield untapped if you reveal a card with a basic land type that matches a color they tap for.
cycle-shrine	0				
cycle-snc-draft-signpost	0				
cycle-spirit-avatar	0				
cycle-stx-draft-signpost	0				
cycle-talisman	0				
cycle-tla-draft-signpost	0				
cycle-tmt-draft-signpost	0				
cycle-triple-tapland	0				
cycle-usg-enemy-hate	0				
cycle-verge	0				Dual lands that allows you to tap for one color with no restrictions, but only allow you to tap for the other color if you have a land of one of two basic land types .
cycle-zendikar-creatureland	0				The supercycle of dual creaturelands, begun in Worldwake and completed in Battle for Zendikar.
depletion-land	0				Lands that use depletion counters to limit their number of activations.
impulse-color	0				
library-manipulation	0				
life-divider	0				Effects that make players lose fractions of their life total. See also [set life total](/tags/card/set-life-total) and [life doubler](/tags/card/life-doubler).
recursion-any	0				
recursion-battle	0				
recursion-land	0				
recursion-planeswalker	0				
recursion-self	0				
regrowth-saga	0				
removal-burn	0				
remove-counters	0				Remove counters from stuff.
sacrifice-matters	0				Cards that give you some kind of benefit for sacrificing stuff, or for making your opponent sacrifice stuff.
seek	0				Put a random card from your library into another zone, usually your hand.
seek-land	0				Seek for land cards.
single-minded-hate	0				Hate cards that do absolutely nothing at all if your opponent isn't playing that strategy.
single-minded-typal-hate	0				Cards that hate on a specific creature type (or types), and do nothing else if creatures of that type aren't present.
tapper	0				Tap down permanents. For cards that tap stuff as a cost, see [tap outlet](tap-outlet).
tricycle-land	0				Lands that can tap for three colors of mana and have the ability to cycle.
tutor-artifact-spacecraft	0				
tutor-land	0				Cards that tutor land cards.
tutor-noncreature	0				
typal-eye	0				
typal-leviathan	0				
white-effect	0				Effects which are iconically white.
107-3f-x-card				cr-107-3f-x-card	alias
1v1				?	alias
ability-counter				keyword-counter	alias
abu-dual-land				cycle-abu-dual-land	alias
acceleration				ramp	alias
